INFO:mqtt_server:Connected to test.mosquitto.org at port 1883 at 12:38:56.490452
INFO:mqtt_server:Current status at 12:38:57.388923: {'people': inf, 'bikes': 0, 'alert': '1', 'cam_2_people_locations': [], 'lot_status': None}
INFO:mqtt_server:Current status at 12:39:54.645111: {'people': inf, 'bikes': 0, 'alert': '0', 'cam_2_people_locations': [], 'lot_status': None}
INFO:mqtt_server:Current status at 12:39:55.940719: {'people': inf, 'bikes': 0, 'alert': '0', 'cam_2_people_locations': [], 'lot_status': None}
INFO:mqtt_server:Current status at 12:39:57.865328: {'people': inf, 'bikes': 0, 'alert': '0', 'cam_2_people_locations': [], 'lot_status': None}
INFO:mqtt_server:Current status at 12:39:57.887150: {'people': inf, 'bikes': 0, 'alert': '0', 'cam_2_people_locations': [], 'lot_status': None}
INFO:mqtt_server:Current status at 12:40:00.417051: {'people': inf, 'bikes': 0, 'alert': '0', 'cam_2_people_locations': [], 'lot_status': None}
INFO:mqtt_server:Current status at 12:40:02.675821: {'people': inf, 'bikes': 0, 'alert': '0', 'cam_2_people_locations': [], 'lot_status': None}
INFO:mqtt_server:Current status at 12:40:02.707532: {'people': inf, 'bikes': 0, 'alert': '0', 'cam_2_people_locations': [], 'lot_status': None}
INFO:mqtt_server:Current status at 12:40:04.987485: {'people': inf, 'bikes': 0, 'alert': '0', 'cam_2_people_locations': [], 'lot_status': None}
INFO:mqtt_server:Current status at 12:40:05.820855: {'people': inf, 'bikes': 0, 'alert': '0', 'cam_2_people_locations': [], 'lot_status': None}
INFO:mqtt_server:Current status at 12:40:07.588173: {'people': inf, 'bikes': 0, 'alert': '0', 'cam_2_people_locations': [], 'lot_status': None}
INFO:mqtt_server:Current status at 12:40:09.057307: {'people': inf, 'bikes': 0, 'alert': '0', 'cam_2_people_locations': [], 'lot_status': None}
INFO:mqtt_server:Current status at 12:40:10.185025: {'people': inf, 'bikes': 0, 'alert': '0', 'cam_2_people_locations': [], 'lot_status': None}
INFO:mqtt_server:Current status at 12:40:11.702235: {'people': inf, 'bikes': 0, 'alert': '0', 'cam_2_people_locations': [], 'lot_status': None}
INFO:mqtt_server:Current status at 12:40:12.825728: {'people': inf, 'bikes': 0, 'alert': '0', 'cam_2_people_locations': [], 'lot_status': None}
INFO:mqtt_server:Current status at 12:40:14.203457: {'people': inf, 'bikes': 0, 'alert': '0', 'cam_2_people_locations': [], 'lot_status': None}
INFO:mqtt_server:Current status at 12:40:15.291149: {'people': inf, 'bikes': 0, 'alert': '0', 'cam_2_people_locations': [], 'lot_status': None}
INFO:mqtt_server:Current status at 12:40:16.670809: {'people': inf, 'bikes': 0, 'alert': '0', 'cam_2_people_locations': [], 'lot_status': None}
INFO:mqtt_server:Current status at 12:40:18.174230: {'people': inf, 'bikes': 0, 'alert': '0', 'cam_2_people_locations': [], 'lot_status': None}
INFO:mqtt_server:Current status at 12:40:19.480708: {'people': inf, 'bikes': 0, 'alert': '0', 'cam_2_people_locations': [], 'lot_status': None}
INFO:mqtt_server:Current status at 12:40:21.265007: {'people': inf, 'bikes': 0, 'alert': '0', 'cam_2_people_locations': [], 'lot_status': None}
INFO:mqtt_server:Current status at 12:40:23.266689: {'people': inf, 'bikes': 0, 'alert': '0', 'cam_2_people_locations': [], 'lot_status': None}
INFO:mqtt_server:Current status at 12:40:24.611725: {'people': inf, 'bikes': 0, 'alert': '0', 'cam_2_people_locations': [], 'lot_status': None}
INFO:mqtt_server:Current status at 12:40:26.391260: {'people': inf, 'bikes': 0, 'alert': '0', 'cam_2_people_locations': [], 'lot_status': None}
INFO:mqtt_server:Current status at 12:40:27.825303: {'people': inf, 'bikes': 0, 'alert': '0', 'cam_2_people_locations': [], 'lot_status': None}
INFO:mqtt_server:Current status at 12:40:29.054263: {'people': inf, 'bikes': 0, 'alert': '0', 'cam_2_people_locations': [], 'lot_status': None}
INFO:mqtt_server:Current status at 12:40:31.065714: {'people': inf, 'bikes': 0, 'alert': '0', 'cam_2_people_locations': [], 'lot_status': None}
INFO:mqtt_server:Current status at 12:40:32.823343: {'people': inf, 'bikes': 0, 'alert': '0', 'cam_2_people_locations': [], 'lot_status': None}
INFO:mqtt_server:Current status at 12:40:33.457376: {'people': inf, 'bikes': 0, 'alert': '0', 'cam_2_people_locations': [], 'lot_status': None}
INFO:mqtt_server:Current status at 12:40:34.823410: {'people': inf, 'bikes': 0, 'alert': '0', 'cam_2_people_locations': [], 'lot_status': None}
INFO:mqtt_server:Current status at 12:40:36.774928: {'people': inf, 'bikes': 0, 'alert': '0', 'cam_2_people_locations': [], 'lot_status': None}
INFO:mqtt_server:Current status at 12:40:38.454394: {'people': inf, 'bikes': 0, 'alert': '0', 'cam_2_people_locations': [], 'lot_status': None}
INFO:mqtt_server:Current status at 12:40:39.672087: {'people': inf, 'bikes': 0, 'alert': '0', 'cam_2_people_locations': [], 'lot_status': None}
INFO:mqtt_server:Current status at 12:40:40.868021: {'people': inf, 'bikes': 0, 'alert': '0', 'cam_2_people_locations': [], 'lot_status': None}
INFO:mqtt_server:Current status at 12:40:42.502897: {'people': inf, 'bikes': 0, 'alert': '0', 'cam_2_people_locations': [], 'lot_status': None}
INFO:mqtt_server:Current status at 12:40:43.526188: {'people': inf, 'bikes': 0, 'alert': '0', 'cam_2_people_locations': [], 'lot_status': None}
INFO:mqtt_server:Current status at 12:40:44.947239: {'people': inf, 'bikes': 0, 'alert': '0', 'cam_2_people_locations': [], 'lot_status': None}
INFO:mqtt_server:Current status at 12:40:46.767585: {'people': inf, 'bikes': 0, 'alert': '0', 'cam_2_people_locations': [], 'lot_status': None}
INFO:mqtt_server:Current status at 12:40:48.102326: {'people': inf, 'bikes': 0, 'alert': '0', 'cam_2_people_locations': [], 'lot_status': None}
INFO:mqtt_server:Current status at 12:40:49.329639: {'people': inf, 'bikes': 0, 'alert': '0', 'cam_2_people_locations': [], 'lot_status': None}
INFO:mqtt_server:Current status at 12:40:51.187656: {'people': inf, 'bikes': 0, 'alert': '0', 'cam_2_people_locations': [], 'lot_status': None}
INFO:mqtt_server:Current status at 12:40:52.551602: {'people': inf, 'bikes': 0, 'alert': '0', 'cam_2_people_locations': [], 'lot_status': None}
INFO:mqtt_server:Current status at 12:40:54.177262: {'people': inf, 'bikes': 0, 'alert': '0', 'cam_2_people_locations': [], 'lot_status': None}
INFO:mqtt_server:Current status at 12:40:55.349938: {'people': inf, 'bikes': 0, 'alert': '0', 'cam_2_people_locations': [], 'lot_status': None}
INFO:mqtt_server:Current status at 12:40:56.934408: {'people': inf, 'bikes': 0, 'alert': '0', 'cam_2_people_locations': [], 'lot_status': None}
INFO:mqtt_server:Current status at 12:40:58.844193: {'people': inf, 'bikes': 0, 'alert': '0', 'cam_2_people_locations': [], 'lot_status': None}
INFO:mqtt_server:Current status at 12:41:00.414758: {'people': inf, 'bikes': 0, 'alert': '0', 'cam_2_people_locations': [], 'lot_status': None}
INFO:mqtt_server:Current status at 12:41:01.754137: {'people': inf, 'bikes': 0, 'alert': '0', 'cam_2_people_locations': [], 'lot_status': None}
INFO:mqtt_server:Current status at 12:41:02.772785: {'people': inf, 'bikes': 0, 'alert': '0', 'cam_2_people_locations': [], 'lot_status': None}
INFO:mqtt_server:Current status at 12:41:04.237373: {'people': inf, 'bikes': 0, 'alert': '0', 'cam_2_people_locations': [], 'lot_status': None}
INFO:mqtt_server:Current status at 12:41:06.224072: {'people': inf, 'bikes': 0, 'alert': '0', 'cam_2_people_locations': [], 'lot_status': None}
INFO:mqtt_server:Current status at 12:41:07.674830: {'people': inf, 'bikes': 0, 'alert': '0', 'cam_2_people_locations': [], 'lot_status': None}
INFO:mqtt_server:Current status at 12:41:09.091203: {'people': inf, 'bikes': 0, 'alert': '0', 'cam_2_people_locations': [], 'lot_status': None}
INFO:mqtt_server:Current status at 12:41:10.694076: {'people': inf, 'bikes': 0, 'alert': '0', 'cam_2_people_locations': [], 'lot_status': None}
INFO:mqtt_server:Current status at 12:41:12.369664: {'people': inf, 'bikes': 0, 'alert': '0', 'cam_2_people_locations': [], 'lot_status': None}
INFO:mqtt_server:Current status at 12:41:14.163117: {'people': inf, 'bikes': 0, 'alert': '0', 'cam_2_people_locations': [], 'lot_status': None}
INFO:mqtt_server:Current status at 12:41:15.797316: {'people': inf, 'bikes': 0, 'alert': '0', 'cam_2_people_locations': [], 'lot_status': None}
INFO:mqtt_server:Current status at 12:41:18.164565: {'people': inf, 'bikes': 0, 'alert': '0', 'cam_2_people_locations': [], 'lot_status': None}
INFO:mqtt_server:Current status at 12:41:18.187998: {'people': inf, 'bikes': 0, 'alert': '0', 'cam_2_people_locations': [], 'lot_status': None}
INFO:mqtt_server:Current status at 12:41:21.742813: {'people': inf, 'bikes': 0, 'alert': '0', 'cam_2_people_locations': [], 'lot_status': None}
INFO:mqtt_server:Current status at 12:41:21.766380: {'people': inf, 'bikes': 0, 'alert': '0', 'cam_2_people_locations': [], 'lot_status': None}
INFO:mqtt_server:Current status at 12:41:22.899754: {'people': inf, 'bikes': 0, 'alert': '0', 'cam_2_people_locations': [], 'lot_status': None}
INFO:mqtt_server:Current status at 12:41:24.458292: {'people': inf, 'bikes': 0, 'alert': '0', 'cam_2_people_locations': [], 'lot_status': None}
INFO:mqtt_server:Current status at 12:41:25.538304: {'people': inf, 'bikes': 0, 'alert': '0', 'cam_2_people_locations': [], 'lot_status': None}
INFO:mqtt_server:Current status at 12:41:28.427924: {'people': inf, 'bikes': 0, 'alert': '0', 'cam_2_people_locations': [], 'lot_status': None}
INFO:mqtt_server:Current status at 12:41:28.463190: {'people': inf, 'bikes': 0, 'alert': '0', 'cam_2_people_locations': [], 'lot_status': None}
INFO:mqtt_server:Current status at 12:41:31.421390: {'people': inf, 'bikes': 0, 'alert': '0', 'cam_2_people_locations': [], 'lot_status': None}
INFO:mqtt_server:Current status at 12:41:31.476289: {'people': inf, 'bikes': 0, 'alert': '0', 'cam_2_people_locations': [], 'lot_status': None}
INFO:mqtt_server:Current status at 12:41:33.633890: {'people': inf, 'bikes': 0, 'alert': '0', 'cam_2_people_locations': [], 'lot_status': None}
INFO:mqtt_server:Current status at 12:41:34.853733: {'people': inf, 'bikes': 0, 'alert': '0', 'cam_2_people_locations': [], 'lot_status': None}
INFO:mqtt_server:Current status at 12:41:36.529536: {'people': inf, 'bikes': 0, 'alert': '0', 'cam_2_people_locations': [], 'lot_status': None}
INFO:mqtt_server:Current status at 12:41:37.343974: {'people': inf, 'bikes': 0, 'alert': '0', 'cam_2_people_locations': [], 'lot_status': None}
INFO:mqtt_server:Current status at 12:41:39.793894: {'people': inf, 'bikes': 0, 'alert': '0', 'cam_2_people_locations': [], 'lot_status': None}
INFO:mqtt_server:Current status at 12:41:40.658684: {'people': inf, 'bikes': 0, 'alert': '0', 'cam_2_people_locations': [], 'lot_status': None}
INFO:mqtt_server:Current status at 12:41:42.287916: {'people': inf, 'bikes': 0, 'alert': '0', 'cam_2_people_locations': [], 'lot_status': None}
INFO:mqtt_server:Current status at 12:41:43.156931: {'people': inf, 'bikes': 0, 'alert': '0', 'cam_2_people_locations': [], 'lot_status': None}
INFO:mqtt_server:Current status at 12:41:44.651498: {'people': inf, 'bikes': 0, 'alert': '0', 'cam_2_people_locations': [], 'lot_status': None}
INFO:mqtt_server:Current status at 12:41:47.108145: {'people': inf, 'bikes': 0, 'alert': '0', 'cam_2_people_locations': [[428.470134511511, 1816.1798369612563, 1.0]], 'lot_status': None}
INFO:mqtt_server:Connected to test.mosquitto.org at port 1883 at 12:46:56.494451
INFO:mqtt_server:Connected to test.mosquitto.org at port 1883 at 12:47:13.309594
INFO:mqtt_server:Current status at 12:47:25.409960: {'people': inf, 'bikes': 0, 'alert': '0', 'cam_2_people_locations': [], 'lot_status': None}
INFO:mqtt_server:Current status at 12:47:27.256507: {'people': inf, 'bikes': 0, 'alert': '0', 'cam_2_people_locations': [], 'lot_status': None}
INFO:mqtt_server:Current status at 12:47:28.290517: {'people': inf, 'bikes': 0, 'alert': '0', 'cam_2_people_locations': [], 'lot_status': None}
INFO:mqtt_server:Current status at 12:47:30.635901: {'people': inf, 'bikes': 0, 'alert': '0', 'cam_2_people_locations': [], 'lot_status': None}
INFO:mqtt_server:Current status at 12:47:30.643416: {'people': inf, 'bikes': 0, 'alert': '0', 'cam_2_people_locations': [], 'lot_status': None}
INFO:mqtt_server:Current status at 12:47:32.849006: {'people': inf, 'bikes': 0, 'alert': '0', 'cam_2_people_locations': [], 'lot_status': None}
INFO:mqtt_server:Current status at 12:47:34.195613: {'people': inf, 'bikes': 0, 'alert': '0', 'cam_2_people_locations': [], 'lot_status': None}
INFO:mqtt_server:Current status at 12:47:35.862619: {'people': inf, 'bikes': 0, 'alert': '0', 'cam_2_people_locations': [], 'lot_status': None}
INFO:mqtt_server:Current status at 12:47:37.545200: {'people': inf, 'bikes': 0, 'alert': '0', 'cam_2_people_locations': [], 'lot_status': None}
INFO:mqtt_server:Current status at 12:47:38.285973: {'people': inf, 'bikes': 0, 'alert': '0', 'cam_2_people_locations': [], 'lot_status': None}
INFO:mqtt_server:Current status at 12:47:40.907294: {'people': inf, 'bikes': 0, 'alert': '0', 'cam_2_people_locations': [], 'lot_status': None}
INFO:mqtt_server:Current status at 12:47:40.916188: {'people': inf, 'bikes': 0, 'alert': '0', 'cam_2_people_locations': [], 'lot_status': None}
INFO:mqtt_server:Current status at 12:47:43.690032: {'people': inf, 'bikes': 0, 'alert': '0', 'cam_2_people_locations': [], 'lot_status': None}
INFO:mqtt_server:Current status at 12:47:43.718074: {'people': inf, 'bikes': 0, 'alert': '0', 'cam_2_people_locations': [], 'lot_status': None}
INFO:mqtt_server:Current status at 12:47:46.316663: {'people': inf, 'bikes': 0, 'alert': '0', 'cam_2_people_locations': [], 'lot_status': None}
INFO:mqtt_server:Current status at 12:47:46.720344: {'people': inf, 'bikes': 0, 'alert': '0', 'cam_2_people_locations': [], 'lot_status': None}
INFO:mqtt_server:Current status at 12:47:48.176524: {'people': inf, 'bikes': 0, 'alert': '0', 'cam_2_people_locations': [], 'lot_status': None}
INFO:mqtt_server:Current status at 12:47:49.907197: {'people': inf, 'bikes': 0, 'alert': '0', 'cam_2_people_locations': [], 'lot_status': None}
INFO:mqtt_server:Current status at 12:47:51.974226: {'people': inf, 'bikes': 0, 'alert': '0', 'cam_2_people_locations': [], 'lot_status': None}
INFO:mqtt_server:Current status at 12:47:53.984220: {'people': inf, 'bikes': 0, 'alert': '0', 'cam_2_people_locations': [], 'lot_status': None}
INFO:mqtt_server:Current status at 12:47:54.002217: {'people': inf, 'bikes': 0, 'alert': '0', 'cam_2_people_locations': [], 'lot_status': None}
INFO:mqtt_server:Current status at 12:47:55.566555: {'people': inf, 'bikes': 0, 'alert': '0', 'cam_2_people_locations': [], 'lot_status': None}
INFO:mqtt_server:Current status at 12:47:57.378220: {'people': inf, 'bikes': 0, 'alert': '0', 'cam_2_people_locations': [], 'lot_status': None}
INFO:mqtt_server:Current status at 12:47:58.724017: {'people': inf, 'bikes': 0, 'alert': '0', 'cam_2_people_locations': [], 'lot_status': None}
INFO:mqtt_server:Current status at 12:48:00.779929: {'people': inf, 'bikes': 0, 'alert': '0', 'cam_2_people_locations': [], 'lot_status': None}
INFO:mqtt_server:Current status at 12:48:02.265752: {'people': inf, 'bikes': 0, 'alert': '0', 'cam_2_people_locations': [], 'lot_status': None}
INFO:mqtt_server:Current status at 12:48:03.370935: {'people': inf, 'bikes': 0, 'alert': '0', 'cam_2_people_locations': [], 'lot_status': None}
INFO:mqtt_server:Current status at 12:48:05.164991: {'people': inf, 'bikes': 0, 'alert': '0', 'cam_2_people_locations': [], 'lot_status': None}
INFO:mqtt_server:Current status at 12:48:06.086047: {'people': inf, 'bikes': 0, 'alert': '0', 'cam_2_people_locations': [], 'lot_status': None}
INFO:mqtt_server:Current status at 12:48:07.415866: {'people': inf, 'bikes': 0, 'alert': '0', 'cam_2_people_locations': [], 'lot_status': None}
INFO:mqtt_server:Current status at 12:48:09.223186: {'people': inf, 'bikes': 0, 'alert': '0', 'cam_2_people_locations': [], 'lot_status': None}
INFO:mqtt_server:Current status at 12:48:11.075932: {'people': inf, 'bikes': 0, 'alert': '0', 'cam_2_people_locations': [], 'lot_status': None}
INFO:mqtt_server:Current status at 12:48:11.099851: {'people': inf, 'bikes': 0, 'alert': '0', 'cam_2_people_locations': [], 'lot_status': None}
INFO:mqtt_server:Current status at 12:48:13.835643: {'people': inf, 'bikes': 0, 'alert': '0', 'cam_2_people_locations': [], 'lot_status': None}
INFO:mqtt_server:Current status at 12:48:14.868313: {'people': inf, 'bikes': 0, 'alert': '0', 'cam_2_people_locations': [], 'lot_status': None}
INFO:mqtt_server:Current status at 12:48:16.305470: {'people': inf, 'bikes': 0, 'alert': '0', 'cam_2_people_locations': [], 'lot_status': None}
INFO:mqtt_server:Current status at 12:48:18.421651: {'people': inf, 'bikes': 0, 'alert': '0', 'cam_2_people_locations': [], 'lot_status': None}
INFO:mqtt_server:Current status at 12:48:20.372120: {'people': inf, 'bikes': 0, 'alert': '0', 'cam_2_people_locations': [], 'lot_status': None}
INFO:mqtt_server:Current status at 12:48:20.387946: {'people': inf, 'bikes': 0, 'alert': '0', 'cam_2_people_locations': [], 'lot_status': None}
INFO:mqtt_server:Current status at 12:48:22.934428: {'people': inf, 'bikes': 0, 'alert': '0', 'cam_2_people_locations': [], 'lot_status': None}
INFO:mqtt_server:Current status at 12:48:22.957246: {'people': inf, 'bikes': 0, 'alert': '0', 'cam_2_people_locations': [], 'lot_status': None}
INFO:mqtt_server:Current status at 12:48:24.884560: {'people': inf, 'bikes': 0, 'alert': '0', 'cam_2_people_locations': [], 'lot_status': None}
INFO:mqtt_server:Current status at 12:48:26.364971: {'people': inf, 'bikes': 0, 'alert': '0', 'cam_2_people_locations': [], 'lot_status': None}
INFO:mqtt_server:Current status at 12:48:28.238762: {'people': inf, 'bikes': 0, 'alert': '0', 'cam_2_people_locations': [], 'lot_status': None}
INFO:mqtt_server:Current status at 12:48:29.070498: {'people': inf, 'bikes': 0, 'alert': '0', 'cam_2_people_locations': [], 'lot_status': None}
INFO:mqtt_server:Current status at 12:48:30.274389: {'people': inf, 'bikes': 0, 'alert': '0', 'cam_2_people_locations': [], 'lot_status': None}
INFO:mqtt_server:Current status at 12:48:31.519790: {'people': inf, 'bikes': 0, 'alert': '0', 'cam_2_people_locations': [], 'lot_status': None}
INFO:mqtt_server:Current status at 12:48:33.081778: {'people': inf, 'bikes': 0, 'alert': '0', 'cam_2_people_locations': [], 'lot_status': None}
INFO:mqtt_server:Current status at 12:48:34.487058: {'people': inf, 'bikes': 0, 'alert': '0', 'cam_2_people_locations': [], 'lot_status': None}
INFO:mqtt_server:Current status at 12:48:35.989538: {'people': inf, 'bikes': 0, 'alert': '0', 'cam_2_people_locations': [], 'lot_status': None}
INFO:mqtt_server:Current status at 12:48:37.362180: {'people': inf, 'bikes': 0, 'alert': '0', 'cam_2_people_locations': [], 'lot_status': None}
INFO:mqtt_server:Current status at 12:48:38.990862: {'people': inf, 'bikes': 0, 'alert': '0', 'cam_2_people_locations': [], 'lot_status': None}
INFO:mqtt_server:Current status at 12:48:40.508606: {'people': inf, 'bikes': 0, 'alert': '0', 'cam_2_people_locations': [], 'lot_status': None}
INFO:mqtt_server:Current status at 12:48:42.576713: {'people': inf, 'bikes': 0, 'alert': '0', 'cam_2_people_locations': [], 'lot_status': None}
INFO:mqtt_server:Current status at 12:48:44.044318: {'people': inf, 'bikes': 0, 'alert': '0', 'cam_2_people_locations': [], 'lot_status': None}
INFO:mqtt_server:Current status at 12:48:45.484414: {'people': inf, 'bikes': 0, 'alert': '0', 'cam_2_people_locations': [], 'lot_status': None}
INFO:mqtt_server:Current status at 12:48:46.474490: {'people': inf, 'bikes': 0, 'alert': '0', 'cam_2_people_locations': [], 'lot_status': None}
INFO:mqtt_server:Current status at 12:48:47.764123: {'people': inf, 'bikes': 0, 'alert': '0', 'cam_2_people_locations': [], 'lot_status': None}
INFO:mqtt_server:Current status at 12:48:49.327712: {'people': inf, 'bikes': 0, 'alert': '0', 'cam_2_people_locations': [], 'lot_status': None}
INFO:mqtt_server:Current status at 12:48:51.495846: {'people': inf, 'bikes': 0, 'alert': '0', 'cam_2_people_locations': [], 'lot_status': None}
INFO:mqtt_server:Current status at 12:48:53.023421: {'people': inf, 'bikes': 0, 'alert': '0', 'cam_2_people_locations': [], 'lot_status': None}
INFO:mqtt_server:Current status at 12:48:54.173162: {'people': inf, 'bikes': 0, 'alert': '0', 'cam_2_people_locations': [], 'lot_status': None}
INFO:mqtt_server:Current status at 12:48:56.107822: {'people': inf, 'bikes': 0, 'alert': '0', 'cam_2_people_locations': [], 'lot_status': None}
INFO:mqtt_server:Current status at 12:48:58.026218: {'people': inf, 'bikes': 0, 'alert': '0', 'cam_2_people_locations': [], 'lot_status': None}
INFO:mqtt_server:Current status at 12:48:59.082082: {'people': inf, 'bikes': 0, 'alert': '0', 'cam_2_people_locations': [], 'lot_status': None}
INFO:mqtt_server:Current status at 12:49:00.360123: {'people': inf, 'bikes': 0, 'alert': '0', 'cam_2_people_locations': [], 'lot_status': None}
INFO:mqtt_server:Current status at 12:49:02.190718: {'people': inf, 'bikes': 0, 'alert': '0', 'cam_2_people_locations': [], 'lot_status': None}
INFO:mqtt_server:Current status at 12:49:03.537422: {'people': inf, 'bikes': 0, 'alert': '0', 'cam_2_people_locations': [], 'lot_status': None}
INFO:mqtt_server:Current status at 12:49:04.887614: {'people': inf, 'bikes': 0, 'alert': '0', 'cam_2_people_locations': [], 'lot_status': None}
INFO:mqtt_server:Current status at 12:49:06.289781: {'people': inf, 'bikes': 0, 'alert': '0', 'cam_2_people_locations': [], 'lot_status': None}
INFO:mqtt_server:Current status at 12:49:08.095306: {'people': inf, 'bikes': 0, 'alert': '0', 'cam_2_people_locations': [], 'lot_status': None}
INFO:mqtt_server:Current status at 12:49:09.854474: {'people': inf, 'bikes': 0, 'alert': '0', 'cam_2_people_locations': [], 'lot_status': None}
INFO:mqtt_server:Current status at 12:49:11.261165: {'people': inf, 'bikes': 0, 'alert': '0', 'cam_2_people_locations': [], 'lot_status': None}
INFO:mqtt_server:Current status at 12:49:11.931926: {'people': inf, 'bikes': 0, 'alert': '0', 'cam_2_people_locations': [], 'lot_status': None}
INFO:mqtt_server:Current status at 12:49:13.563185: {'people': inf, 'bikes': 0, 'alert': '0', 'cam_2_people_locations': [], 'lot_status': None}
INFO:mqtt_server:Current status at 12:49:15.322798: {'people': inf, 'bikes': 0, 'alert': '0', 'cam_2_people_locations': [], 'lot_status': None}
INFO:mqtt_server:Current status at 12:49:16.951689: {'people': inf, 'bikes': 0, 'alert': '0', 'cam_2_people_locations': [], 'lot_status': None}
INFO:mqtt_server:Current status at 12:49:19.397910: {'people': inf, 'bikes': 0, 'alert': '0', 'cam_2_people_locations': [], 'lot_status': None}
INFO:mqtt_server:Current status at 12:49:19.408058: {'people': inf, 'bikes': 0, 'alert': '0', 'cam_2_people_locations': [], 'lot_status': None}
INFO:mqtt_server:Current status at 12:49:21.868779: {'people': inf, 'bikes': 0, 'alert': '0', 'cam_2_people_locations': [], 'lot_status': None}
INFO:mqtt_server:Current status at 12:49:23.723730: {'people': inf, 'bikes': 0, 'alert': '0', 'cam_2_people_locations': [], 'lot_status': None}
INFO:mqtt_server:Current status at 12:49:23.735117: {'people': inf, 'bikes': 0, 'alert': '0', 'cam_2_people_locations': [], 'lot_status': None}
INFO:mqtt_server:Current status at 12:49:25.323598: {'people': inf, 'bikes': 0, 'alert': '0', 'cam_2_people_locations': [], 'lot_status': None}
INFO:mqtt_server:Current status at 12:49:27.135376: {'people': inf, 'bikes': 0, 'alert': '0', 'cam_2_people_locations': [], 'lot_status': None}
INFO:mqtt_server:Current status at 12:49:28.221265: {'people': inf, 'bikes': 0, 'alert': '0', 'cam_2_people_locations': [], 'lot_status': None}
INFO:mqtt_server:Current status at 12:49:29.888572: {'people': inf, 'bikes': 0, 'alert': '0', 'cam_2_people_locations': [], 'lot_status': None}
INFO:mqtt_server:Current status at 12:49:31.611399: {'people': inf, 'bikes': 0, 'alert': '0', 'cam_2_people_locations': [], 'lot_status': None}
INFO:mqtt_server:Current status at 12:49:32.639747: {'people': inf, 'bikes': 0, 'alert': '0', 'cam_2_people_locations': [], 'lot_status': None}
INFO:mqtt_server:Current status at 12:49:33.959237: {'people': inf, 'bikes': 0, 'alert': '0', 'cam_2_people_locations': [[458.1266020882538, 1815.4810111619272, 2.0]], 'lot_status': None}
INFO:mqtt_server:Current status at 12:49:35.420393: {'people': inf, 'bikes': 0, 'alert': '0', 'cam_2_people_locations': [[436.50167269247817, 1766.0037617042738, 2.0]], 'lot_status': None}
INFO:mqtt_server:Current status at 12:49:37.327934: {'people': inf, 'bikes': 0, 'alert': '0', 'cam_2_people_locations': [[418.9784255869898, 1702.4008661669081, 2.0]], 'lot_status': None}
